,L,R,F,M,C
0,2014/03/31,1,210,580717,0.961639043
1,2014/03/31,7,140,293678,1.25231444
2,2014/03/31,11,135,283712,1.254675516
3,2014/03/31,97,23,281336,1.090869565
4,2014/03/31,5,152,309928,0.970657895
5,2014/03/31,79,92,294585,0.967692483
6,2014/03/31,1,101,287042,0.965346535
7,2014/03/31,3,73,287230,0.962070222
8,2014/03/31,6,56,321489,0.828478237
9,2014/03/31,15,64,375074,0.7080101529999999
10,2014/03/31,22,43,262013,0.988658044
11,2014/03/31,6,145,271438,0.95253487
12,2014/03/31,67,29,321529,0.799126984
13,2014/03/31,3,118,179514,1.398381742
14,2014/03/31,2,50,270067,0.921984841
15,2014/03/31,65,22,234721,1.026084586
16,2014/03/31,7,101,172231,1.3865249
17,2014/03/31,45,40,284160,0.8378442429999999
18,2014/03/31,2,64,169358,1.401596264
19,2014/03/31,24,38,332896,0.70828541
20,2014/03/31,4,106,167113,1.369404116
21,2014/03/31,6,23,214590,1.061630924
22,2014/03/31,23,94,305250,0.741803833
23,2014/03/31,74,20,222380,1.004904443
24,2014/03/31,17,44,281837,0.7873084440000001
25,2014/03/31,17,62,243674,0.902990019
26,2014/03/31,3,213,187917,1.146354614
27,2014/03/31,11,74,148685,1.4333644280000002
28,2014/03/31,18,101,159129,1.33816985
29,2014/03/31,11,87,149254,1.424714581
30,2014/03/31,2,53,144076,1.469224298
31,2014/03/31,8,95,149053,1.414895104
32,2014/03/31,16,131,220948,0.944884271
33,2014/03/31,3,95,148227,1.3986401940000002
34,2014/03/31,3,47,285144,0.725685618
35,2014/03/31,108,25,220389,0.937899941
36,2014/03/31,34,24,189813,1.087220053
37,2014/03/31,125,54,141012,1.462104927
38,2014/03/31,1,166,229303,0.890172305
39,2014/03/31,34,81,140819,1.4291794430000002
40,2014/03/31,2,98,137876,1.458541443
41,2014/03/31,3,35,201141,0.998554546
42,2014/03/31,3,95,140803,1.3969850069999998
43,2014/03/31,13,46,256766,0.764737193
44,2014/03/31,38,54,160825,1.20853437
45,2014/03/31,22,21,185493,1.029507529
46,2014/03/31,1,110,187588,1.015978367
47,2014/03/31,7,134,140356,1.356053179
48,2014/03/31,2,107,135811,1.3989924230000002
49,2014/03/31,304,70,219282,0.863479447
50,2014/03/31,1,189,235687,0.802633323
51,2014/03/31,4,87,132283,1.4251770069999998
52,2014/03/31,11,29,211369,0.8888699859999999
53,2014/03/31,1,48,130135,1.408197795
54,2014/03/31,1,68,135374,1.349375212
55,2014/03/31,4,111,216560,0.828452854
56,2014/03/31,22,69,131660,1.3549435669999998
57,2014/03/31,4,126,204371,0.867522349
58,2014/03/31,15,55,153868,1.146000598
59,2014/03/31,21,76,214921,0.819187329
60,2014/03/31,15,68,127335,1.380410335
61,2014/03/31,1,77,136121,1.288018381
62,2014/03/31,6,84,186821,0.938031056
63,2014/03/31,14,96,204612,0.848239546
64,2014/03/31,8,30,164001,1.057257212
65,2014/03/31,19,85,121097,1.4261062619999998
66,2014/03/31,88,32,182563,0.944650121
67,2014/03/31,19,34,170121,1.013669976
68,2014/03/31,1,197,275800,0.620507614
69,2014/03/31,7,30,184194,0.928504294
70,2014/03/31,62,18,209911,0.8118710790000001
71,2014/03/31,19,64,137636,1.236256939
72,2014/03/31,4,149,219108,0.774487057
73,2014/03/31,13,61,143186,1.183962818
74,2014/03/31,36,36,209839,0.8061770690000001
75,2014/03/31,22,22,170406,0.992454374
76,2014/03/31,29,23,169224,0.995539285
77,2014/03/31,18,16,163191,1.019520072
78,2014/03/31,8,102,140220,1.179368992
79,2014/03/31,6,81,159255,1.034587737
80,2014/03/31,6,30,208687,0.782406571
81,2014/03/31,12,127,170611,0.956332827
82,2014/03/31,2,56,116728,1.394863786
83,2014/03/31,1,79,208797,0.777341772
84,2014/03/31,9,97,155881,1.036667137
85,2014/03/31,2,158,205159,0.784701427
86,2014/03/31,7,64,115300,1.3912993059999998
87,2014/03/31,13,51,137500,1.165835855
88,2014/03/31,144,29,157056,1.0178590440000002
89,2014/03/31,1,69,114077,1.3874902919999998
90,2014/03/31,15,88,122619,1.281481989
91,2014/03/31,15,42,162453,0.966069448
92,2014/03/31,10,129,109813,1.429138536
93,2014/03/31,14,67,123464,1.265322199
94,2014/03/31,53,12,146784,1.059166667
95,2014/03/31,4,100,162250,0.952273652
96,2014/03/31,11,69,118726,1.297050351
97,2014/03/31,34,17,125349,1.226505277
98,2014/03/31,9,12,146784,1.046666667
99,2014/03/31,4,54,144562,1.053910364
100,2014/03/31,21,79,123985,1.228445376
101,2014/03/31,5,87,105119,1.4454897780000002
102,2014/03/31,17,53,144682,1.046215562
103,2014/03/31,17,92,134823,1.118316089
104,2014/03/31,11,48,150537,1.001144569
105,2014/03/31,3,90,108184,1.390945611
106,2014/03/31,9,56,104663,1.435274261
107,2014/03/31,4,146,191328,0.7832398290000001
108,2014/03/31,15,35,167150,0.894261083
109,2014/03/31,63,33,174046,0.85318887
110,2014/03/31,7,142,177357,0.835532119
111,2014/03/31,44,31,204438,0.723434195
112,2014/03/31,29,53,102999,1.434114409
113,2014/03/31,14,21,159605,0.925114251
114,2014/03/31,27,16,195712,0.75375
115,2014/03/31,3,85,155704,0.946174922
116,2014/03/31,22,71,119961,1.225504039
117,2014/03/31,2,130,167593,0.873661907
118,2014/03/31,4,89,149557,0.978068228
119,2014/03/31,11,83,103087,1.411593411
120,2014/03/31,2,99,162215,0.8969661870000001
121,2014/03/31,27,40,198627,0.731685018
122,2014/03/31,11,52,99524,1.458000784
123,2014/03/31,10,65,119794,1.210876087
124,2014/03/31,3,34,151642,0.951756044
125,2014/03/31,6,83,149993,0.960765569
126,2014/03/31,24,65,109089,1.318943707
127,2014/03/31,23,18,146238,0.982511386
128,2014/03/31,4,66,102689,1.39722054
129,2014/03/31,2,52,105167,1.3569867919999998
130,2014/03/31,38,27,182561,0.780547269
131,2014/03/31,1,193,209912,0.6756097790000001
132,2014/03/31,6,65,184730,0.764
133,2014/03/31,59,14,144708,0.97367319
134,2014/03/31,11,24,213058,0.658633893
135,2014/03/31,17,89,177556,0.787337009
136,2014/03/31,8,57,98104,1.42497258
137,2014/03/31,12,101,140188,0.996902945
138,2014/03/31,16,19,155552,0.897522308
139,2014/03/31,24,95,140931,0.988949912
140,2014/03/31,7,85,97855,1.423453171
141,2014/03/31,22,108,169746,0.8176859540000001
142,2014/03/31,4,64,97250,1.426656247
143,2014/03/31,3,113,204853,0.6743815809999999
144,2014/03/31,1,31,95766,1.438600025
145,2014/03/31,5,79,129119,1.065611103
146,2014/03/31,17,109,163010,0.843554751
147,2014/03/31,18,19,201613,0.681331859
148,2014/03/31,25,120,172352,0.7902875509999999
149,2014/03/31,1,45,116917,1.154155854
150,2014/03/31,135,19,136374,0.988910129
151,2014/03/31,184,22,135717,0.993493225
152,2014/03/31,15,80,105118,1.277942503
153,2014/03/31,6,82,106666,1.255920537
154,2014/03/31,12,90,179472,0.744693267
155,2014/03/31,157,17,143287,0.931991388
156,2014/03/31,9,39,97116,1.374724556
157,2014/03/31,11,102,102961,1.295748779
158,2014/03/31,11,90,158149,0.8431856670000001
159,2014/03/31,7,125,176585,0.75433474
160,2014/03/31,23,77,94142,1.414713624
161,2014/03/31,6,79,157844,0.843179595
162,2014/03/31,13,116,165365,0.802227557
163,2014/03/31,15,58,91515,1.448642081
164,2014/03/31,8,109,144321,0.914492693
165,2014/03/31,9,180,182540,0.720028487
166,2014/03/31,1,103,218087,0.602317149
167,2014/03/31,8,107,155834,0.841613512
168,2014/03/31,121,14,125796,1.040394289
169,2014/03/31,2,149,155588,0.836742487
170,2014/03/31,49,76,94185,1.380177417
171,2014/03/31,3,55,94577,1.369523774
172,2014/03/31,4,80,92022,1.407186108
173,2014/03/31,16,40,139742,0.926317142
174,2014/03/31,7,142,183472,0.702883928
175,2014/03/31,23,14,126850,1.016463224
176,2014/03/31,30,24,125340,1.026238631
177,2014/03/31,18,13,126495,1.014545871
178,2014/03/31,2,85,151736,0.843447435
179,2014/03/31,3,68,117537,1.085817147
180,2014/03/31,8,116,161730,0.786706177
181,2014/03/31,2,123,89350,1.419099832
182,2014/03/31,17,47,91018,1.389867279
183,2014/03/31,95,14,123662,1.022610665
184,2014/03/31,107,49,90602,1.394936204
185,2014/03/31,2,86,157799,0.799002655
186,2014/03/31,11,60,106278,1.182681834
187,2014/03/31,4,110,166843,0.7509068409999999
188,2014/03/31,179,15,183480,0.681333333
189,2014/03/31,2,67,119347,1.046676247
190,2014/03/31,1,51,99034,1.259950118
191,2014/03/31,69,74,96520,1.289827497
192,2014/03/31,27,12,121632,1.023333333
193,2014/03/31,6,59,85171,1.461263576
194,2014/03/31,18,120,176951,0.701123814
195,2014/03/31,3,60,88428,1.40060309
196,2014/03/31,1,57,90553,1.366744227
197,2014/03/31,57,43,195034,0.631640227
198,2014/03/31,2,113,151060,0.81511929
199,2014/03/31,23,42,165589,0.743348652
200,2014/03/31,16,58,94554,1.299097235
201,2014/03/31,30,16,184227,0.66544855
202,2014/03/31,18,122,180074,0.68017726
203,2014/03/31,6,72,91164,1.343311285
204,2014/03/31,10,113,121394,1.008554047
205,2014/03/31,2,77,157206,0.7772353470000001
206,2014/03/31,10,57,91658,1.332451177
207,2014/03/31,13,16,115401,1.057235119
208,2014/03/31,9,77,151637,0.803643702
209,2014/03/31,3,88,117157,1.039534044
210,2014/03/31,51,13,137604,0.884236795
211,2014/03/31,3,124,113615,1.070194781
212,2014/03/31,31,69,147549,0.823818121
213,2014/03/31,1,66,86430,1.406350341
214,2014/03/31,102,26,178921,0.6793056709999999
215,2014/03/31,4,59,94946,1.273062688
216,2014/03/31,1,125,189177,0.6379945770000001
217,2014/03/31,11,97,171544,0.701652637
218,2014/03/31,3,57,144505,0.832500467
219,2014/03/31,5,64,262290,0.457967364
220,2014/03/31,114,49,88903,1.3509114430000002
221,2014/03/31,2,58,84353,1.423312271
222,2014/03/31,5,136,145540,0.82433441
223,2014/03/31,4,68,148879,0.8048453440000001
224,2014/03/31,4,71,180226,0.664729007
225,2014/03/31,16,116,130636,0.916310894
226,2014/03/31,1,110,172640,0.6930268190000001
227,2014/03/31,12,105,145253,0.823284201
228,2014/03/31,21,52,83356,1.433468257
229,2014/03/31,3,106,167199,0.714441235
230,2014/03/31,178,11,112128,1.065035317
231,2014/03/31,13,59,92635,1.283990608
232,2014/03/31,18,59,145433,0.817583423
